"","ID","Gene Symbol","ENTREZ_GENE_ID"
"323","200795_at","SPARCL1","8404"
"324","200796_s_at","MCL1","4170"
"325","200797_s_at","MCL1","4170"
"326","200798_x_at","MCL1","4170"
"327","200799_at","HSPA1A /// HSPA1B","3303 /// 3304"
"328","200800_s_at","HSPA1A /// HSPA1B /// HSPA1L","3303 /// 3304 /// 3305"
"329","200801_x_at","ACTB","60"
"330","200802_at","SARS","6301"
"331","200803_s_at","TMBIM6","7009"
"332","200804_at","TMBIM6","7009"
"333","200805_at","LMAN2","10960"
"334","200806_s_at","HSPD1","3329"
"335","200807_s_at","HSPD1","3329"
"336","200808_s_at","ZYX","7791"
"337","200809_x_at","RPL12","6136"
"338","200810_s_at","CIRBP","1153"
"339","200811_at","CIRBP","1153"
"340","200812_at","CCT7","10574"
"341","200813_s_at","PAFAH1B1","5048"
"342","200814_at","PSME1","5720"
"343","200815_s_at","PAFAH1B1","5048"
"344","200816_s_at","PAFAH1B1","5048"
"345","200817_x_at","RPS10","6204"
"346","200818_at","ATP5O","539"
"347","200819_s_at","RPS15","6209"
"348","200820_at","PSMD8","5714"
"349","200821_at","LAMP2","3920"
"350","200822_x_at","TPI1","7167"
"351","200823_x_at","RPL29","6159"
"352","200824_at","GSTP1","2950"
"353","200825_s_at","HYOU1","10525"
"354","200826_at","SNRPD2","6633"
"355","200827_at","PLOD1","5351"
"356","200828_s_at","ZNF207","7756"
"357","200829_x_at","ZNF207","7756"
"358","200830_at","PSMD2","5708"
"359","200831_s_at","SCD","6319"
"360","200832_s_at","SCD","6319"
"361","200833_s_at","RAP1B","5908"
"362","200834_s_at","RPS21","6227"
"363","200835_s_at","MAP4","4134"
"364","200836_s_at","MAP4","4134"
"365","200837_at","BCAP31","10134"
"366","200838_at","CTSB","1508"
"367","200839_s_at","CTSB","1508"
"368","200840_at","KARS","3735"
"369","200841_s_at","EPRS","2058"
"370","200842_s_at","EPRS","2058"
"371","200843_s_at","EPRS","2058"
"372","200844_s_at","PRDX6","9588"
"373","200845_s_at","PRDX6","9588"
"374","200846_s_at","PPP1CA","5499"
"375","200847_s_at","SARAF","51669"
"376","200848_at","AHCYL1","10768"
"377","200849_s_at","AHCYL1","10768"
"378","200850_s_at","AHCYL1","10768"
"379","200851_s_at","IST1","9798"
"380","200852_x_at","GNB2","2783"
"381","200853_at","H2AFZ","3015"
"382","200854_at","NCOR1","9611"
"383","200855_at","NCOR1","9611"
"384","200856_x_at","NCOR1","9611"
"385","200857_s_at","NCOR1","9611"
"386","200858_s_at","RPS8 /// SNORD38B /// SNORD55","6202 /// 26811 /// 94163"
"387","200859_x_at","FLNA","2316"
"388","200860_s_at","CNOT1","23019"
"389","200861_at","CNOT1","23019"
"390","200862_at","DHCR24","1718"
"391","200863_s_at","RAB11A","8766"
"392","200864_s_at","RAB11A","8766"
