gene_ID,10-14 days,90 days,log2FC,log2ave,w,WAD
200033_at,11.601676638602976,11.5269889400019,-0.07468769860107471,11.56433278930244,0.8397298513315044,-0.06271749004257268
200034_s_at,12.110660365255915,12.080004168099313,-0.03065619715660617,12.095332266677614,0.8775920245853356,-0.026903634128753216
200035_at,8.10599067426345,8.361982719806356,0.25599204554290544,8.233986697034904,0.6022641924876204,0.15417484259215208
200036_s_at,10.967545971382192,10.8603747475639,-0.10717122381829114,10.913960359473046,0.7933559570681065,-0.08502492884252061
200037_s_at,11.434155675468451,11.160861910463876,-0.27329376500457414,11.297508792966164,0.8207043403696058,-0.22429337913520508
200038_s_at,12.074261676259043,11.941983081185098,-0.1322785950739469,12.00812237872207,0.8713736457960717,-0.1152640816503674
200039_s_at,9.527706102184132,9.426274070575598,-0.10143203160853533,9.476990086379866,0.690894806429311,-0.07007886384391077
200040_at,10.023306189636362,10.075581758540627,0.05227556890426577,10.049443974088494,0.731712828291392,0.038250704373481846
200041_s_at,10.18869975281564,10.256388679643576,0.0676889268279357,10.222544216229608,0.7440554983644858,0.050364318184716914
200042_at,9.413288241528535,9.282734225934863,-0.13055401559367397,9.3480112337317,0.6816981501742336,-0.08899843092802559
200043_at,11.118039490328046,10.561705435885496,-0.5563340544425515,10.83987246310677,0.7880732234916101,-0.4384319716226985
200044_at,9.99309366688479,9.56544884222487,-0.4276448246599198,9.779271254554828,0.7124485413169342,-0.30467493153069597
200045_at,8.970267902939339,8.921443801749506,-0.04882410118983316,8.945855852344422,0.6530230245407529,-0.03188326222946862
200046_at,10.864264256955169,10.44512293190578,-0.41914132504938983,10.654693594430473,0.7748693038880948,-0.32477974677175436
200047_s_at,10.689399669256842,10.472398929897189,-0.2170007393596531,10.580899299577016,0.7696075051558301,-0.16700539763555317
200048_s_at,11.48296471484862,11.16068234915154,-0.322282365697081,11.32182353200008,0.8224380687462787,-0.26505728643488924
200049_at,8.170170856352733,8.237659306374939,0.06748845002220527,8.203915081363835,0.6001199780936838,0.0405011671489025
200050_at,8.749521168729345,8.683621005595247,-0.06590016313409741,8.716571087162297,0.636674195824946,-0.04195693336813422
200051_at,6.821051710171019,7.098214238113285,0.2771625279422665,6.959632974142152,0.5113981869666022,0.1417404142847553
200052_s_at,8.653963731116843,8.262229847785996,-0.391733883330847,8.45809678945142,0.6182440484169531,-0.24218714193255725
200053_at,8.707720796859409,8.706889190615403,-8.316062440059113e-4,8.707304993737406,0.6360134900246811,-5.289127895765162e-4
200054_at,7.699330337480825,7.758877178755313,0.0595468412744875,7.729103758118069,0.5662642223922327,0.03371924577021137
200055_at,9.882344569932446,9.84504210728201,-0.03730246265043568,9.863693338607227,0.718468139657486,-0.026800630945101378
200056_s_at,7.879557495983122,7.3358642915653505,-0.5436932044177718,7.607710893774236,0.5576084743973667,-0.3031679382556094
200057_s_at,10.745156044087194,10.684878775730455,-0.06027726835673874,10.715017409908825,0.7791706089746152,-0.046966275892846424
200058_s_at,9.710008082636232,9.694874327760012,-0.0151337548762207,9.702441205198122,0.7069702823660525,-0.010699114958100372
200059_s_at,11.235002059400731,11.29068694069531,0.05568488129457805,11.26284450004802,0.8182326515636655,0.04556318807367055
200060_s_at,9.936708114963984,9.842979117233469,-0.09372899773051556,9.889843616098725,0.7203327485303856,-0.06751606655222055
200061_s_at,12.233459777904269,12.149398880196989,-0.08406089770728187,12.191429329050628,0.8844440908862984,-0.07434716425180303
200062_s_at,13.567427821982715,13.411817417589926,-0.15561040439278884,13.48962261978632,0.9770099433684243,-0.15203291238333622
200063_s_at,12.332091902697828,12.208460945071408,-0.12363095762642118,12.270276423884615,0.8900661724369672,-0.11003973324926558
200064_at,10.868407224478448,10.610441248604,-0.2579659758744466,10.739424236541224,0.7809109035283879,-0.20144844329969638
200065_s_at,11.031050448996426,10.848340820388998,-0.18270962860742831,10.939695634692711,0.7951909747858613,-0.14528904767510362
200066_at,9.231665731409691,9.168798039888538,-0.06286769152115568,9.200231885649115,0.6711609509511771,-0.0421943396254441
200067_x_at,10.562062670014882,10.520180358184698,-0.04188231183018409,10.541121514099787,0.7667712059322652,-0.03211415074926143
200068_s_at,11.412675035286696,11.173177971101778,-0.2394970641849188,11.292926503194238,0.820377606621954,-0.1964780283090082
200069_at,7.534425140522426,7.566421309613971,0.03199616909154468,7.550423225068199,0.553523657499659,0.017710636541529354
200070_at,8.707670736298201,8.523985764678788,-0.18368497161941377,8.615828250488494,0.6294908691010085,-0.11562801242549886
200071_at,8.48547580622386,8.452871584754922,-0.03260422146893838,8.469173695489392,0.6190338716717693,-0.020183117448760744
200072_s_at,9.301701153811887,9.196000036462497,-0.10570111734939223,9.248850595137192,0.6746276398660415,-0.07130889532862397
200073_s_at,9.859840233710964,9.831381413549696,-0.02845882016126921,9.84561082363033,0.7171787912793961,-0.02041006224449676
200074_s_at,10.971516746376698,10.880865413803557,-0.0906513325731435,10.926191080090128,0.7942280514537964,-0.07199783123125783
200075_s_at,9.578778695808722,9.346035055127572,-0.23274364068115003,9.462406875468147,0.6898549710214382,-0.1605593574975188
200076_s_at,8.027257876805049,8.154240221209035,0.12698234440398615,8.09074904900704,0.5920508328193387,0.0751800027577321
