"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
8.09907874276862e-64,0.390290165428323,0.765,0.395,2.32573145177344e-59,"ECM related 2","COL10A1"
3.80877352927493e-63,0.264130941046247,0.199,0.044,1.09372740666659e-58,"ECM related 2","NDUFA5"
4.23158143147845e-63,0.494484156650715,0.979,0.871,1.21514092386335e-58,"ECM related 2","LUM"
6.52371394002381e-63,0.287331947360476,0.173,0.032,1.87334969501724e-58,"ECM related 2","RRAS"
1.80551846645303e-62,0.263254255557988,0.632,0.282,5.18472682826653e-58,"ECM related 2","TPM4"
3.30100164807436e-62,0.285996751730561,0.3,0.097,9.47915633261034e-58,"ECM related 2","TNFAIP6"
3.32971405956914e-62,0.372845131765871,0.177,0.035,9.56160689345875e-58,"ECM related 2","GGT5"
5.11075303979939e-62,0.313559225764764,0.683,0.338,1.46760384290879e-57,"ECM related 2","SERPINF1"
9.89154092644176e-62,0.66582918557771,0.973,0.813,2.84045489243702e-57,"ECM related 2","MT-ATP6"
1.5626350545306e-61,0.255595791244934,0.253,0.072,4.48726282259007e-57,"ECM related 2","DKK3"
5.43942193689704e-61,0.335158799159289,0.377,0.143,1.56198440339936e-56,"ECM related 2","CYP1B1"
7.32857372086253e-61,0.385210466772197,0.985,0.86,2.10447322968289e-56,"ECM related 2","ACTB"
1.38928133255014e-60,0.556794966017943,0.31,0.109,3.98946027455098e-56,"ECM related 2","IGFBP3"
1.51606326655861e-60,0.269461970181034,0.194,0.044,4.35352727624972e-56,"ECM related 2","PPA1"
1.61618801368138e-60,0.276938062858415,0.219,0.056,4.64104550008746e-56,"ECM related 2","CLEC2B"
1.72186478695995e-60,0.28808360142694,0.673,0.315,4.9445069222342e-56,"ECM related 2","SERPINH1"
5.59178391170622e-60,0.479612735467072,0.365,0.142,1.60573666808556e-55,"ECM related 2","C1QTNF3"
1.11572320977772e-59,0.341088456212236,0.718,0.352,3.20391076919769e-55,"ECM related 2","ITM2B"
2.19454671743801e-59,0.252627331126815,0.228,0.061,6.30186035379499e-55,"ECM related 2","ECM1"
7.63479174152153e-59,0.339745950665769,0.688,0.349,2.19240679649532e-54,"ECM related 2","CYR61"
1.34729926040387e-58,0.445937838180071,0.914,0.625,3.86890455617576e-54,"ECM related 2","ACTG1"
1.73474095507424e-58,0.260458154481835,0.215,0.056,4.98148212659119e-54,"ECM related 2","KDELR3"
4.40683690537716e-58,0.549551190537832,0.141,0.022,1.26546728574811e-53,"ECM related 2","LAMP5"
4.56025866947204e-58,0.268091719429169,0.201,0.049,1.30952387952559e-53,"ECM related 2","NTM"
1.13204257144016e-57,0.28170261221759,0.192,0.046,3.25077344814755e-53,"ECM related 2","UBE2E2"
1.57432610675359e-57,0.3654633097661,0.18,0.04,4.52083484815361e-53,"ECM related 2","LTBP1"
2.2114782875865e-57,0.251420278817026,0.19,0.044,6.35048105063338e-53,"ECM related 2","HADHA"
9.06739176833856e-57,0.308188659101715,0.195,0.048,2.6037922201961e-52,"ECM related 2","GBP1"
2.33776926337732e-56,0.258951257589726,0.178,0.04,6.71313821671432e-52,"ECM related 2","GINM1"
3.66331555410233e-56,0.438947238202891,0.157,0.03,1.05195769451602e-51,"ECM related 2","COL4A2"
1.51146695465967e-55,0.291261549117883,0.282,0.095,4.34032850700069e-51,"ECM related 2","LOXL2"
1.59742470132836e-55,0.279545834387255,0.21,0.056,4.58716477233451e-51,"ECM related 2","SGIP1"
1.09387328132458e-53,0.475802392853206,0.867,0.554,3.14116651465166e-49,"ECM related 2","HLA-B"
2.10757025951228e-53,0.475602752060082,0.966,0.77,6.05209875721546e-49,"ECM related 2","MT-ND3"
4.70035708064386e-53,0.41345862761154,0.203,0.056,1.34975453927769e-48,"ECM related 2","MATN3"
2.17363714769372e-52,0.256478430462721,0.236,0.073,6.24181643331729e-48,"ECM related 2","MRPS6"
2.93641394880037e-52,0.284018627397302,0.782,0.412,8.43220629537513e-48,"ECM related 2","THY1"
4.04537322938843e-52,0.263524858741498,0.177,0.043,1.16166937655118e-47,"ECM related 2","PARP14"
3.40614472765015e-51,0.266860027082507,0.177,0.044,9.78108519992018e-47,"ECM related 2","LMO7"
4.49067688017447e-51,0.253947629808611,0.15,0.031,1.2895427729109e-46,"ECM related 2","STRAP"
5.99229785751438e-51,0.434803141867193,0.817,0.515,1.72074825276383e-46,"ECM related 2","TIMP3"
8.29729074904079e-51,0.262306405821287,0.149,0.031,2.38265001149455e-46,"ECM related 2","KLF2"
8.43343921202431e-51,0.255985776239388,0.219,0.066,2.4217464041249e-46,"ECM related 2","TMEM165"
1.2560223229113e-49,0.528697233431962,0.474,0.234,3.60679370247209e-45,"ECM related 2","HSPA1A"
5.12152610718805e-49,0.378217800303305,0.94,0.762,1.47069743694012e-44,"ECM related 2","DCN"
6.39501949887148e-49,0.427389370156974,0.69,0.39,1.83639379929593e-44,"ECM related 2","MGP"
9.91449767027801e-49,0.266041949478636,0.14,0.028,2.84704715099703e-44,"ECM related 2","CNOT2"
1.01199571955961e-48,0.263423952124256,0.168,0.042,2.90604690828738e-44,"ECM related 2","TES"
1.30326509434176e-48,0.276588396352823,0.193,0.055,3.74245604491179e-44,"ECM related 2","F2R"
2.70576974688533e-48,0.504679206939343,0.156,0.037,7.76988840515592e-44,"ECM related 2","GREM1"
